lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000187,Barnet 014B,1237,0.318,3,153.388,158.2657384,168.0212152,177.776692
E01000188,Barnet 014C,1185,0.232,4,146.94000000000003,150.34900800000005,157.167024,163.98504000000005
E01000189,Barnet 014D,1869,0.373,2,231.756,240.40049880000004,257.6894964,274.978494
E01000190,Barnet 014E,1323,0.162,6,164.05200000000002,166.7096424,172.0249272,177.340212
E01000191,Barnet 014F,1181,0.205,5,146.44400000000002,149.44610200000002,155.450306,161.45451000000003
E01000192,Barnet 018A,1532,0.272,4,189.96800000000002,195.13512960000003,205.4693888,215.80364800000004
E01000193,Barnet 018B,1570,0.312,3,194.68,200.75401599999998,212.90204799999998,225.05007999999998
E01000194,Barnet 018C,1433,0.445,2,177.692,185.59929400000001,201.413882,217.22847
E01000195,Barnet 013A,1500,0.424,2,186.0,193.8864,209.6592,225.432
E01000196,Barnet 028A,1815,0.256,4,225.06,230.821536,242.344608,253.86768000000004
E01000197,Barnet 023A,1487,0.184,6,184.388,187.7807392,194.5662176,201.35169600000003
E01000198,Barnet 025A,1596,0.224,5,197.904,202.3370496,211.20314879999998,220.06924800000002
E01000199,Barnet 025B,1270,0.141,7,157.48000000000002,159.70046800000003,164.14140400000002,168.58234000000002
E01000200,Barnet 028B,1599,0.167,6,198.276,201.5872092,208.2096276,214.832046
E01000201,Barnet 028C,1208,0.054,10,149.792,150.6008768,152.2186304,153.83638399999998
E01000202,Barnet 028D,1346,0.131,7,166.904,169.09044240000003,173.46332719999998,177.83621200000002
E01000203,Barnet 028E,1446,0.384,2,179.304,186.1892736,199.9598208,213.730368
E01000204,Barnet 025C,1375,0.128,7,170.5,172.68239999999997,177.0472,181.412
E01000205,Barnet 035A,1158,0.112,8,143.592,145.20023040000004,148.41669120000003,151.63315200000002
E01000206,Barnet 033B,1214,0.02,10,150.536,150.837072,151.43921600000002,152.04136
E01000207,Barnet 033C,1242,0.107,8,154.008,155.6558856,158.95165680000002,162.247428
E01000208,Barnet 033D,1297,0.081,9,160.828,162.1307068,164.7361204,167.341534
E01000209,Barnet 035B,1233,0.103,8,152.89200000000002,154.46678760000003,157.61636280000002,160.76593800000003
E01000210,Barnet 033E,1155,0.084,9,143.22,144.423048,146.82914399999999,149.23524
E01000211,Barnet 035C,1703,0.335,3,211.172,218.246262,232.394786,246.54331
E01000212,Barnet 035D,1105,0.134,7,137.02,138.85606800000002,142.52820400000002,146.20034
E01000213,Barnet 033F,1013,0.042,10,125.612,126.1395704,127.19471119999999,128.24985199999998
E01000214,Barnet 038E,1373,0.113,8,170.252,172.17584760000003,176.02354280000003,179.871238
E01000215,Barnet 037B,1401,0.481,1,173.72400000000002,182.08012440000002,198.7923732,215.504622
E01000216,Barnet 035E,1449,0.303,3,179.67600000000002,185.1201828,196.00854840000002,206.896914
E01000217,Barnet 035F,1236,0.331,3,153.264,158.33703839999998,168.48311520000001,178.62919200000002
E01000218,Barnet 037C,1280,0.41,2,158.72000000000003,165.22752000000003,178.24256000000003,191.25760000000005
E01000219,Barnet 037D,1465,0.434,2,181.66,189.544044,205.31213199999996,221.08022
E01000220,Barnet 037E,1369,0.491,1,169.756,178.09101959999998,194.7610588,211.43109800000002
E01000221,Barnet 039B,1030,0.49,1,127.72000000000001,133.97828,146.49484,159.01140000000004
E01000222,Barnet 040C,1613,0.389,2,200.012,207.7924668,223.3534004,238.91433400000003
E01000223,Barnet 039C,1507,0.493,1,186.86800000000002,196.0805924,214.5057772,232.93096200000002
E01000224,Barnet 040D,1310,0.458,2,162.44000000000003,169.87975200000002,184.75925600000002,199.63876000000005
E01000225,Barnet 037F,1218,0.27,4,151.032,155.109864,163.265592,171.42132
E01000226,Barnet 018D,1352,0.468,1,167.64800000000002,175.49392640000002,191.18577920000004,206.87763200000003
E01000227,Barnet 018E,1476,0.165,6,183.024,186.043896,192.08368800000002,198.12348
E01000228,Barnet 007A,1112,0.182,6,137.888,140.39756160000002,145.4166848,150.435808
E01000229,Barnet 013B,1271,0.358,3,157.604,163.24622320000003,174.5306696,185.81511600000002
E01000230,Barnet 013C,1420,0.253,4,176.08,180.53482400000004,189.44447200000002,198.35412000000002
E01000231,Barnet 013D,1384,0.283,4,171.616,176.47273280000002,186.18619840000002,195.899664
E01000232,Barnet 013E,1473,0.238,4,182.65200000000002,186.99911760000003,195.69335279999999,204.38758800000002
E01000233,Barnet 013F,1501,0.165,6,186.12400000000002,189.19504600000002,195.33713800000004,201.47923000000003
E01000234,Barnet 021D,1354,0.209,5,167.89600000000002,171.4050264,178.42307920000002,185.441132
E01000235,Barnet 021E,1465,0.332,3,181.66,187.69111199999998,199.753336,211.81555999999998
E01000236,Barnet 034A,1381,0.366,2,171.24400000000003,177.51153040000003,190.04659120000002,202.58165200000005
E01000237,Barnet 032A,1625,0.253,4,201.5,206.59795000000003,216.79385000000002,226.98975000000002
E01000238,Barnet 034B,1492,0.297,3,185.008,190.50273760000002,201.4922128,212.48168800000002
E01000239,Barnet 031A,1685,0.35,3,208.94000000000003,216.2529,230.87870000000004,245.50450000000004
E01000240,Barnet 031B,1422,0.294,3,176.328,181.51204320000002,191.8801296,202.248216
E01000241,Barnet 031C,1416,0.23,5,175.584,179.62243199999998,187.699296,195.77616
E01000242,Barnet 032B,1202,0.22,5,149.048,152.327056,158.88516800000002,165.44328000000002
E01000243,Barnet 032C,1719,0.324,3,213.156,220.0622544,233.8747632,247.68727199999998
E01000244,Barnet 032D,1347,0.26,4,167.02800000000002,171.370728,180.05618400000003,188.74164000000002
E01000245,Barnet 032E,1659,0.414,2,205.716,214.23264240000003,231.26592720000002,248.299212
E01000246,Barnet 002B,1241,0.118,8,153.88400000000001,155.69983120000003,159.33149360000004,162.963156
E01000247,Barnet 002C,1352,0.158,6,167.64800000000002,170.29683840000004,175.59451520000005,180.89219200000002
E01000248,Barnet 001A,1382,0.145,7,171.36800000000002,173.85283600000002,178.82250800000003,183.79218000000003
E01000249,Barnet 001B,1300,0.064,10,161.20000000000002,162.23168,164.29504000000003,166.35840000000002
E01000250,Barnet 001C,2144,0.191,5,265.856,270.9338496,281.0895488,291.24524799999995
E01000251,Barnet 002D,1815,0.25,4,225.06,230.6865,241.93949999999998,253.1925
E01000252,Barnet 002E,1414,0.206,5,175.336,178.9479216,186.17176480000003,193.395608
E01000253,Barnet 007B,1575,0.052,10,195.3,196.31556000000003,198.34668000000002,200.3778
E01000254,Barnet 001D,1305,0.08,9,161.82000000000002,163.11456,165.70368000000002,168.29280000000003
E01000255,Barnet 017A,1352,0.253,4,167.64800000000002,171.88949440000005,180.37248320000003,188.85547200000005
E01000256,Barnet 016A,1454,0.181,6,180.29600000000002,183.55935760000003,190.0860728,196.61278800000002
E01000257,Barnet 017B,1639,0.311,3,203.236,209.55663959999998,222.19791879999997,234.83919799999998
