location_id,zapmap_device_uid,power_band,device_max_power
XGYEAIF,RM6XTDH,1. Slow,3450
EVQLNJQ,KDM3XQF,1. Slow,3450
AWFQ2KY,GWOIHXK,1. Slow,3450
YJLZQLY,KM8BGAO,1. Slow,3450
2VGE8MK,WXDMS5M,1. Slow,3450
VIX22DP,OSO1SYE,1. Slow,3450
GSNRAYJ,G8CWM9Z,1. Slow,3450
F87ACD0,8PG6KPK,1. Slow,3450
35V5QU7,A6UTU7D,1. Slow,3450
8WSZXKM,TPBLPPP,1. Slow,3450
SZI1UNO,S4VH1VW,1. Slow,3450
WNFCVX4,0F51Z6C,1. Slow,3450
MPN2IWN,GBKRW87,1. Slow,3450
WDQW0J3,WHWHYQK,1. Slow,3450
RGX1SRC,RLZFYKT,1. Slow,3450
VD3NRG7,MDDZW7T,1. Slow,3450
8QX79ZR,1AAXHUW,1. Slow,3450
LZRKI74,OLQG4Y0,1. Slow,3450
DZHR60V,3Y24UET,1. Slow,3450
XOTAGLG,WLAO6VQ,1. Slow,3450
MNQYNHZ,LVTNLTA,1. Slow,3450
A4QERSG,9XZAINB,1. Slow,3450
SZB1WCW,IXZJIAA,1. Slow,3450
EFDVU41,7YZA46B,1. Slow,3450
VUZD3AY,J2YHZOX,1. Slow,3450
OECA0IG,7VAXCE2,1. Slow,3450
BVK3KTA,MMWDXBL,1. Slow,3450
HNONYPG,7VXEYV5,1. Slow,3450
FQT5U82,JQVKQWU,1. Slow,3450
HG64Q5E,JYM671F,1. Slow,3450
SDOZE9S,EXAHI4B,1. Slow,3450
MRM9U86,W8EVHLS,1. Slow,3450
LQSGSQV,9KHFXIB,1. Slow,3450
